,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_positive,params_tol,state
55,55,26200.13482127533,2024-03-30 15:13:18.033711,2024-03-30 15:13:18.048692,0 days 00:00:00.014981,0.2846750784165752,0.7785301816646594,403,False,8.34087830928145e-05,PRUNED
56,56,26049.26827997214,2024-03-30 15:13:18.049990,2024-03-30 15:13:18.069599,0 days 00:00:00.019609,0.07575889785977566,0.948525383168446,1106,False,4.367803275625558e-05,COMPLETE
57,57,26611.440781777354,2024-03-30 15:13:18.071011,2024-03-30 15:13:18.086534,0 days 00:00:00.015523,0.1856054505156869,0.8400021217403456,1752,True,4.6908917054631044e-05,PRUNED
58,58,26053.859017201317,2024-03-30 15:13:18.087843,2024-03-30 15:13:18.106203,0 days 00:00:00.018360,0.035817065331952475,0.9024573008664311,139,False,0.00011104328123218266,COMPLETE
59,59,26186.997676631523,2024-03-30 15:13:18.107533,2024-03-30 15:13:18.123089,0 days 00:00:00.015556,0.10750251901068178,0.8274146388030339,430,False,0.00013837642034556655,PRUNED
60,60,26192.766521935144,2024-03-30 15:13:18.124203,2024-03-30 15:13:18.140395,0 days 00:00:00.016192,0.12976322092180265,0.7178987768150884,213,False,3.51296241241849e-05,PRUNED
61,61,24371.059638653136,2024-03-30 15:13:18.141480,2024-03-30 15:13:18.158904,0 days 00:00:00.017424,0.19709628101734145,0.8797786824866763,766,False,5.341152059875892e-05,PRUNED
62,62,26187.86624807561,2024-03-30 15:13:18.160436,2024-03-30 15:13:18.179492,0 days 00:00:00.019056,0.15567748755011906,0.9168106071636715,859,False,6.081044572170616e-05,PRUNED
63,63,26035.155047234006,2024-03-30 15:13:18.180936,2024-03-30 15:13:18.200496,0 days 00:00:00.019560,0.26311917699247456,0.9662650311645659,568,False,8.766900858206071e-05,COMPLETE
64,64,26035.918396777754,2024-03-30 15:13:18.201821,2024-03-30 15:13:18.221151,0 days 00:00:00.019330,0.23530442989681286,0.956975421278713,572,False,8.886298567450158e-05,COMPLETE
65,65,24363.051919921923,2024-03-30 15:13:18.222536,2024-03-30 15:13:18.240092,0 days 00:00:00.017556,0.3156330579969069,0.9769700404322994,538,False,8.900653185190003e-05,PRUNED
66,66,24364.655498300734,2024-03-30 15:13:18.241171,2024-03-30 15:13:18.258565,0 days 00:00:00.017394,0.27054326744715307,0.9543345320300178,314,False,7.848785099259959e-05,PRUNED
67,67,26189.851618670065,2024-03-30 15:13:18.259836,2024-03-30 15:13:18.276045,0 days 00:00:00.016209,0.24927125870938197,0.9938506154520175,254,False,0.0001808628378716968,PRUNED
68,68,24362.542426175045,2024-03-30 15:13:18.277364,2024-03-30 15:13:18.296497,0 days 00:00:00.019133,0.217700830050413,0.9316153461133915,651,False,9.842893393225983e-05,PRUNED
69,69,26614.83211207964,2024-03-30 15:13:18.297906,2024-03-30 15:13:18.314003,0 days 00:00:00.016097,0.09762057475930835,0.8573426202809522,446,True,7.245721897970552e-05,PRUNED
70,70,26044.29641643765,2024-03-30 15:13:18.315140,2024-03-30 15:13:18.334440,0 days 00:00:00.019300,0.13678496379380362,0.9511665495976022,368,False,0.00014835924640633873,COMPLETE
71,71,26038.659209271176,2024-03-30 15:13:18.335955,2024-03-30 15:13:18.354415,0 days 00:00:00.018460,0.17351366703643933,0.9095842149084504,555,False,5.998157032498794e-05,COMPLETE
72,72,26187.47063475065,2024-03-30 15:13:18.355647,2024-03-30 15:13:18.371067,0 days 00:00:00.015420,0.1654747574142018,0.9233264035027835,556,False,4.853038934045668e-05,PRUNED
73,73,26191.102862003572,2024-03-30 15:13:18.372116,2024-03-30 15:13:18.387001,0 days 00:00:00.014885,0.2550563048565502,0.9999405239050092,470,False,8.588873768139671e-05,PRUNED
74,74,24381.36581512733,2024-03-30 15:13:18.388183,2024-03-30 15:13:18.407505,0 days 00:00:00.019322,0.21991980667783897,0.8624670128048284,708,False,0.00011056709547820985,PRUNED
75,75,24362.15241742986,2024-03-30 15:13:18.409630,2024-03-30 15:13:18.434513,0 days 00:00:00.024883,0.2925711383619551,0.971257599552159,582,False,6.5188050943686e-05,PRUNED
76,76,26188.312341368623,2024-03-30 15:13:18.436271,2024-03-30 15:13:18.465369,0 days 00:00:00.029098,0.12591762281080338,0.8808019604615706,515,False,7.615437704519235e-05,PRUNED
77,77,26191.539097276902,2024-03-30 15:13:18.467658,2024-03-30 15:13:18.503508,0 days 00:00:00.035850,0.21640149313719875,0.8145829580530621,334,False,2.9795127865338406e-05,PRUNED
78,78,26185.70752483533,2024-03-30 15:13:18.504955,2024-03-30 15:13:18.525440,0 days 00:00:00.020485,0.1719567054902761,0.9134408397241539,405,False,3.639241141559667e-05,PRUNED
79,79,24367.97756921148,2024-03-30 15:13:18.526849,2024-03-30 15:13:18.546167,0 days 00:00:00.019318,0.26174903227702784,0.9393321279546708,473,False,6.531954192754039e-05,PRUNED
80,80,26615.200854456263,2024-03-30 15:13:18.547501,2024-03-30 15:13:18.564873,0 days 00:00:00.017372,0.0854882012971675,0.8495577065027935,641,True,9.61741480849657e-05,PRUNED
81,81,24362.886258506318,2024-03-30 15:13:18.566206,2024-03-30 15:13:18.585150,0 days 00:00:00.018944,0.18188490308016786,0.9004687536519584,922,False,6.037046074784582e-05,PRUNED
82,82,26046.62835999781,2024-03-30 15:13:18.586452,2024-03-30 15:13:18.606039,0 days 00:00:00.019587,0.14165984917269153,0.9708640474516788,692,False,4.196311906357738e-05,COMPLETE
83,83,24371.22960629832,2024-03-30 15:13:18.607322,2024-03-30 15:13:18.625345,0 days 00:00:00.018023,0.20641269833635123,0.8881910906969571,1006,False,7.311689754849556e-05,PRUNED
84,84,24365.77723308664,2024-03-30 15:13:18.626597,2024-03-30 15:13:18.644940,0 days 00:00:00.018343,0.23217167764132227,0.9291547165773514,710,False,5.9342509237823285e-05,PRUNED
85,85,26047.08140502761,2024-03-30 15:13:18.646147,2024-03-30 15:13:18.665808,0 days 00:00:00.019661,0.11382167064686535,0.9643997096132664,591,False,4.784788008660964e-05,COMPLETE
86,86,26185.12467358984,2024-03-30 15:13:18.667210,2024-03-30 15:13:18.684336,0 days 00:00:00.017126,0.16871076496920756,0.9059413806295716,507,False,8.195890853254752e-05,PRUNED
87,87,26185.551700029617,2024-03-30 15:13:18.685461,2024-03-30 15:13:18.702050,0 days 00:00:00.016589,0.19260744663042859,0.8394787326619388,410,False,5.358942950217024e-05,PRUNED
88,88,24394.590347692843,2024-03-30 15:13:18.703317,2024-03-30 15:13:18.721139,0 days 00:00:00.017822,0.2961437568749016,0.8828693921735686,784,False,3.10109515836393e-05,PRUNED
89,89,24380.863104745345,2024-03-30 15:13:18.722313,2024-03-30 15:13:18.741037,0 days 00:00:00.018724,0.33682333144491305,0.939469565017978,366,False,6.958584528903978e-05,PRUNED
90,90,26188.033688829477,2024-03-30 15:13:18.742173,2024-03-30 15:13:18.760281,0 days 00:00:00.018108,0.2350388941285449,0.9813342410626678,583,False,4.026316272575717e-05,PRUNED
91,91,26185.711873936216,2024-03-30 15:13:18.761629,2024-03-30 15:13:18.777459,0 days 00:00:00.015830,0.1680517092177928,0.9098229663097072,826,False,5.7378952089242296e-05,PRUNED
92,92,26184.801927833432,2024-03-30 15:13:18.778805,2024-03-30 15:13:18.795143,0 days 00:00:00.016338,0.1434186629026554,0.8677343162544423,675,False,5.232067952857212e-05,PRUNED
93,93,24365.307918604012,2024-03-30 15:13:18.796516,2024-03-30 15:13:18.813664,0 days 00:00:00.017148,0.18587755119060498,0.8934164436047433,1018,False,8.797635952660427e-05,PRUNED
94,94,26186.003014284488,2024-03-30 15:13:18.815047,2024-03-30 15:13:18.830557,0 days 00:00:00.015510,0.20756174752331014,0.9484657316586321,845,False,4.750464598907407e-05,PRUNED
95,95,26194.82058004736,2024-03-30 15:13:18.832128,2024-03-30 15:13:18.848210,0 days 00:00:00.016082,0.27693196392641384,0.8196309434858573,547,False,6.402772776022376e-05,PRUNED
96,96,24366.0260762051,2024-03-30 15:13:18.849411,2024-03-30 15:13:18.866223,0 days 00:00:00.016812,0.11804994591661946,0.7807548253618779,743,False,5.7191248815404866e-05,PRUNED
97,97,26187.822974921757,2024-03-30 15:13:18.867275,2024-03-30 15:13:18.883173,0 days 00:00:00.015898,0.25222074300644304,0.854118055997655,1343,False,7.584452174136177e-05,PRUNED
98,98,26614.179080805894,2024-03-30 15:13:18.884230,2024-03-30 15:13:18.899971,0 days 00:00:00.015741,0.14844564432511184,0.919678373127091,438,True,3.455549542013657e-05,PRUNED
99,99,26049.150725980824,2024-03-30 15:13:18.901080,2024-03-30 15:13:18.920398,0 days 00:00:00.019318,0.09589452808221204,0.9757555045648825,645,False,4.3382550553511776e-05,COMPLETE
